Unnamed: 0,end_time,path,start_time
,2022-01-16 11:21:56.215502,16-01-2022_11-21-56.jpg,2022-01-16 11:21:51.370490
,2022-01-16 11:22:09.226471,16-01-2022_11-22-09.jpg,2022-01-16 11:22:04.038496
,2022-01-16 11:22:15.599800,16-01-2022_11-22-15.jpg,2022-01-16 11:22:10.825916
,2022-01-16 11:28:23.325478,16-01-2022_11-28-23.jpg,2022-01-16 11:28:18.597847
,2022-01-16 11:28:36.268480,16-01-2022_11-28-36.jpg,2022-01-16 11:28:30.944485
,2022-01-16 11:28:43.898465,16-01-2022_11-28-43.jpg,2022-01-16 11:28:38.038470
,2022-01-16 11:51:17.202809,16-01-2022_11-51-17.jpg,2022-01-16 11:51:11.451811
,2022-01-16 11:51:32.395773,16-01-2022_11-51-32.jpg,2022-01-16 11:51:26.501798
,2022-01-16 11:51:39.927751,16-01-2022_11-51-39.jpg,2022-01-16 11:51:34.198776
,2022-01-16 12:22:01.264764,16-01-2022_12-22-01.jpg,2022-01-16 12:21:56.573782
,2022-01-16 12:22:13.566772,16-01-2022_12-22-13.jpg,2022-01-16 12:22:08.970756
,2022-01-16 12:22:20.651751,16-01-2022_12-22-20.jpg,2022-01-16 12:22:14.958752
,2022-01-16 12:28:31.817513,16-01-2022_12-28-31.jpg,2022-01-16 12:28:26.610520
,2022-01-16 12:28:45.724502,16-01-2022_12-28-45.jpg,2022-01-16 12:28:39.978533
,2022-01-16 12:28:53.352437,16-01-2022_12-28-53.jpg,2022-01-16 12:28:47.466511
,2022-01-16 12:33:00.189289,16-01-2022_12-33-00.jpg,2022-01-16 12:32:55.222916
,2022-01-16 12:33:12.888274,16-01-2022_12-33-12.jpg,2022-01-16 12:33:08.118243
,2022-01-16 12:33:19.170242,16-01-2022_12-33-19.jpg,2022-01-16 12:33:14.255236
,2022-01-16 12:40:22.918669,16-01-2022_12-40-22.jpg,2022-01-16 12:40:17.784660
,2022-01-16 12:40:37.115643,16-01-2022_12-40-36.jpg,2022-01-16 12:40:31.093659
,2022-01-16 12:40:44.772626,16-01-2022_12-40-44.jpg,2022-01-16 12:40:38.923624
,2022-01-16 12:43:43.138715,16-01-2022_12-43-42.jpg,2022-01-16 12:43:37.508702
,2022-01-16 12:43:55.647683,16-01-2022_12-43-55.jpg,2022-01-16 12:43:50.705659
,2022-01-16 12:44:02.206655,16-01-2022_12-44-02.jpg,2022-01-16 12:43:57.198675
